genotypes
aac3
afg3
alg12
alg6
atg1
atg8
ato2
atp17
bmh2
boi2
bst1
bud8
bul1
caf20
caf40
can1
cbs1
chd1
cka2
cos12
cst26
cth1
cup9
cur1
cyc1
das2
dbf20
dbp3
dgk1
did2
dlt1
dom34
dsf2
dsk2
elp4
emi5
emp24
eno1
eos1
erv25
erv41
eug1
fcy2
fet3
fit2
fmp42
fmp43
fob1
gas4
gem1
gpa2
gpm2
gpr1
gsy1
gto3
gtr1
hbs1
hmt1
hor7
hse1
hua1
hxk2
idh1
idh2
idp1
img1
img2
inp51
inp53
irc21
isw2
itr1
kap120
kip2
lin1
los1
lpd1
lsb1
ltv1
lyp1
mad3
map2
mef2
mep2
met3
mig1
mnn1
mnn2
mpd1
mrpl33
mrpl40
mrpl49
mrt4
msk1
msw1
mtc2
mtc4
mub1
ncs2
opi3
paf1
pet130
pex19
pgm2
pho87
pib1
pkh2
pmc1
pml39
pmt1
pmt3
pmt5
poc4
psp2
rad34
rai1
rds1
rec8
rei1
rfx1
rim1
rit1
rmt2
rom2
rph1
rpl12a
rpl12b
rpl13a
rpl13b
rpl16b
rpl19a
rpl19b
rpl1b
rpl20a
rpl20b
rpl21b
rpl22a
rpl23a
rpl26a
rpl29
rpl2b
rpl31a
rpl34a
rpl34b
rpl35a
rpl37b
rpl43b
rpl6a
rpl6b
rpl7a
rpl9a
rpp1a
rpp1b
rpp2a
rpp2b
rps12
rps6a
rrd2
rts1
sam1
sap155
sap185
sas2
sas3
sch9
scw4
sdh1
sdh2
sds3
sgf11
sgf73
sis2
skp2
smy2
sok1
sov1
sps1
spt23
spt4
spt8
ssf1
suv3
syh1
tat2
tif1
tif2
tif4631
tip41
tis11
tma19
tom1
tor1
tos8
tpo3
trk1
ubp8
ubr2
ugx2
ure2
vps24
vps60
ybl053w
ybl083c
ybr013c
ybr197c
ybr226c
ybr238c
ybr266c
ycl006c
ycr101c
ydl062w
ydl063c
ydl172c
ydr048c
ydr115w
yeh1
yel020c
yer128w
ygl042c
ygl079w
ygl165c
ygr051c
yil089w
yjl022w
ykr073c
ymr018w
yng1
ynl034w
ynl213c
yol014w
yor111w
yor135c
ypr064w
ypt52
ypt6
yro2
yur1
yvh1
