"sd.rweibull","current.seed","scale","sderr","Delta_LL","theta","gamma","LWei","LGomp","MeanLF","Delta_LL.flex","LWei.flex","LGomp.flex","G.flex.estimated","R.flex.estimated","LLtheta.par","LLgamma.par","gamma.flex.estimated","theta.flex.estimated"
24.6170042852493,12345,0,0,8.16089509756239,25,1,-8339.77055003005,-8347.93144512762,26.319018404908,8.16087375570896,-8339.77052187005,-8347.93139562576,0.00283971052684729,0.0353450472736743,-3.30547980982786,0.0907730852694133,27.263976043176,1.09516022703209
24.3533171549853,12345,0.1,2.43533171549853,11.3629484759986,25,1,-8080.8379582557,-8092.2009067317,25.3603556485356,11.3627591523255,-8080.83788057988,-8092.20063973221,0.00164449930395904,0.0378538100118357,-3.26928384706019,0.0911253066571621,26.2919880463247,1.09562611584386
26.4053331515667,12345,0.2,5.28106663031333,23.2487839430214,25,1,-7867.74157977562,-7890.99036371864,27.9363686231487,23.2486466469409,-7867.74154598,-7890.99019262694,0.00180980188146091,0.0340769803259595,-3.37954310321675,0.131004763354107,29.3619554814145,1.14009484268715
26.129660984658,12345,0.3,7.8388982953974,29.4959584944045,25,1,-7669.17226312419,-7698.6682216186,28.7843803056027,29.4959643916154,-7669.17223906871,-7698.66820346032,0.00261614643153551,0.032315161511282,-3.4167307146488,0.15545341122549,30.4735705758051,1.16829678008817
23.6949486862512,12345,0.4,9.47797947450046,40.8306693349887,25,1,-7453.1598337737,-7493.99050310869,28.9279907084785,40.8306341840762,-7453.15982841949,-7493.99046260357,0.00587246606453477,0.0295463176053443,-3.43748400746218,0.218172058964244,31.1066985731373,1.24380880171158
25.9647807628769,12345,0.5,12.9823903814385,30.0541449787706,25,1,-7424.02324695958,-7454.07739193836,32.020908004779,30.0540754766871,-7424.0232333164,-7454.07730879309,0.00575194004179572,0.0263302718016859,-3.53476809134607,0.202733825263075,34.2832999501979,1.22470084216978
24.953395328171,12345,0.6,14.9720371969026,40.4776226981467,25,1,-7208.86400422626,-7249.34162692441,32.280885064536,40.4777195299885,-7208.86382418363,-7249.34154371362,0.00673105554128395,0.0254018292751481,-3.55174909705402,0.240891460441607,34.864463090983,1.27197803592711
25.5624021934601,12345,0.7,17.893681535422,29.7665090551991,25,1,-7157.99680348043,-7187.76331253563,34.4937106918239,29.7665206077654,-7157.99677876399,-7187.76329937175,0.00660765737894985,0.0235523846803098,-3.61367018426276,0.228186683746419,37.1069194281281,1.25643849528998
24.9510113093028,12345,0.8,19.9608090474422,26.2245242331246,25,1,-7065.41443750256,-7091.63896173569,35.3514376996805,26.2245498899647,-7065.41439988031,-7091.63894977028,0.00894066007884717,0.0213335981577554,-3.6455847824109,0.265611661410295,38.3056808715644,1.30402257121267
25.537357910526,12345,0.9,22.9836221194734,29.2310049413654,25,1,-7095.8521435024,-7125.08314844376,37.4181701030928,29.2310677763189,-7095.85206847353,-7125.08313624985,0.00793746459436644,0.0204896434337516,-3.70139173563313,0.262967391921072,40.5132986367974,1.30078235562187
24.7661092731314,12345,1,24.7661092731314,23.8919275923472,25,1,-6997.32312902196,-7021.2150566143,37.8347540983607,23.8925699102865,-6997.32247720131,-7021.2150471116,0.00750600128357122,0.0204867609654706,-3.70988221899656,0.249315197791792,40.8354180436485,1.28223057028802
24.668237585047,12345,1.5,37.0023563775706,10.4289560931084,25,1,-6611.52493767639,-6621.9538937695,44.8419540229885,10.429025926619,-6611.52490221368,-6621.9539281403,0.00869795844285601,0.0158136484329043,-3.88397432935873,0.276897898507953,48.6088293812554,1.31888688180191
25.8814832878179,12345,2,51.7629665756358,5.95596209712949,25,1,-6619.81326432169,-6625.76922641882,57.6152108433735,5.95583176958007,-6619.8132633574,-6625.76909512698,0.00857991299231098,0.0112928010311147,-4.14136656974179,0.31854918910563,62.8881423178295,1.37516507393782
25.2950543846632,12345,2.5,63.237635961658,-4.99285352946754,25,1,-6676.90290992094,-6671.91005639147,64.8131699846861,-4.99285230143414,-6676.90290072113,-6671.91004841969,0.00765995914919982,0.0100004372178237,-4.25407287633542,0.294647575828131,70.3923525307293,1.34277858658321
26.2686667192453,12345,3,78.8060001577359,0.189446584770849,25,1,-6398.98119710269,-6399.17064368747,77.1692815854665,0.189479113468224,-6398.98115530986,-6399.17063442333,0.00630993899548535,0.00847078654311513,-4.43028468314245,0.301248529755247,83.952702180204,1.35179848067888
25.8861783799224,12345,0,0,5.72584758771336,26,1,-8378.8631749803,-8384.58902256802,26.5270408163265,5.72606562658802,-8378.8629419173,-8384.58900754389,0.000970312272612341,0.0367509905675363,-3.30390470547446,0.0624009818666678,27.2152389274137,1.0647190298133
26.5670029319932,12345,0.1,2.65670029319932,7.0764093212656,26,1,-8338.86824350523,-8345.94465282649,28.6235662148071,7.0764272540473,-8338.86820230545,-8345.9446295595,0.00286418028692062,0.0322782421282224,-3.38958585887614,0.0907486094992857,29.6486032823286,1.09485932130588
26.696671113928,12345,0.2,5.33933422278559,17.1697228981211,26,1,-7938.15455089546,-7955.32427379358,28.0452069716776,17.169998972422,-7938.15426584419,-7955.32426481661,0.00145827572057742,0.0342571206906149,-3.37772162187604,0.111346410392871,29.2887206435316,1.11770809990218
25.2578034813736,12345,0.3,7.57734104441207,32.6342102855951,26,1,-7757.9966999205,-7790.6309102061,28.6940256839754,32.634241636013,-7757.99664406871,-7790.63088570472,0.00435076951304908,0.0309705465886653,-3.42000184805524,0.177692588544671,30.5639742421066,1.19452291567136
