"sd.rgompertz","current.seed","scale","sderr","Delta_LL","G","R","LWei","LGomp","MeanLF","Delta_LL.flex","LWei.flex","LGomp.flex","G.flex.estimated","R.flex.estimated","LLG.par","LLR.par","gamma.flex.estimated","theta.flex.estimated"
22.3234124485321,12345,0,0,-148.827237202773,0.05,0.001,-9079.07895836699,-8930.25172116422,69.439,-148.827193189618,-9079.07887387511,-8930.25168068549,0.0518236285152013,0.000855600709592948,-2.95976782350191,-7.06433616527015,3.57105358988282,76.8025141658339
22.7148035367537,12345,0.1,2.27148035367537,-123.926960088247,0.05,0.001,-9096.22098373898,-8972.29402365074,67.7352352352352,-123.926847844948,-9096.22081979061,-8972.29397194566,0.0494990940292393,0.00106639616607069,-3.00581778104571,-6.84364057115246,3.3984577825099,75.1452724264168
22.6946346442861,12345,0.2,4.53892692885723,-116.775709791491,0.05,0.001,-9135.27362889407,-9018.49791910257,68.3673673673674,-116.775754206503,-9135.2736092687,-9018.49785506219,0.0476520382013033,0.0011458161921548,-3.04393464651411,-6.77149872433907,3.34999812866148,75.8243960905691
22.6478958009464,12345,0.3,6.79436874028392,-96.6190867265923,0.05,0.001,-9176.29013591741,-9079.67104919082,68.1477215823736,-96.6190756104297,-9176.29010541003,-9079.6710297996,0.0453015003823528,0.00131509086197335,-3.0943575902142,-6.63415105221721,3.23847947524745,75.7520638224849
22.446928478015,12345,0.4,8.97877139120599,-119.19816792745,0.05,0.001,-9189.80259737509,-9070.60442944764,68.350930115636,-119.197785992212,-9189.80246988501,-9070.6046838928,0.0445022132512619,0.00135718487747157,-3.11269846407182,-6.60081759239901,3.1652598219819,75.9378869773916
22.9286654932011,12345,0.5,11.4643327466006,-55.4261852485142,0.05,0.001,-9235.2624746613,-9179.83628941279,68.9964788732394,-55.423514027827,-9235.26059894715,-9179.83708491932,0.0407452393963579,0.00161476832198752,-3.19948044707222,-6.43107814919937,3.06843852307339,76.9573239787363
22.7537963230673,12345,0.6,13.6522777938404,-38.9288678340199,0.05,0.001,-9312.66297619489,-9273.73410836087,68.2957746478873,-38.9279881450711,-9312.66220995913,-9273.73422181406,0.0372826290064337,0.00200727390693228,-3.28881660311372,-6.21222453923634,2.88310778415825,76.3492368195642
22.5891920001023,12345,0.7,15.8124344000716,-30.7918965741992,0.05,0.001,-9259.58550741214,-9228.79361083794,69.5182741116751,-30.7917602557245,-9259.58542381643,-9228.7936635607,0.0364866052997873,0.00198717734797935,-3.31074293047096,-6.22124699254838,2.8800967628865,77.7021367869977
22.0203994173972,12345,1,22.0203994173972,-37.9302730929376,0.05,0.001,-9409.80274041205,-9371.87246731911,70.4357398873528,-37.9302783810635,-9409.80270602098,-9371.87242763992,0.0301700225822215,0.00267513989924402,-3.50073555348043,-5.92423198508238,2.52776216666488,78.9376267449192
22.4314798307651,12345,2,44.8629596615301,-16.1530158618352,0.05,0.001,-9360.51497249351,-9344.36195663167,78.0784851811196,-16.1528252163134,-9360.51491584737,-9344.36209063106,0.0155095191070145,0.0047981783032614,-4.16531276641612,-5.34034062814849,1.85223568073168,87.4032510259588
22.7104893761623,12345,3,68.131468128487,-4.47225152133251,0.05,0.001,-9010.17631091868,-9005.70405939735,89.0172413793103,-4.47261411796171,-9010.17617029827,-9005.70355618031,0.00930597488975157,0.0056130643767646,-4.67442706665621,-5.18434401037929,1.58166752926358,98.7830541656947
14.6849284787812,12345,0,0,-115.570215455166,0.08,0.001,-8224.44449455831,-8108.87427910314,47.7435,-115.569977736012,-8224.44424175924,-8108.87426402322,0.0784918702607161,0.00111164565860118,-2.544769271017,-6.80200218742375,3.76675888624073,52.7225520233841
14.0269747133757,12345,0.1,1.40269747133757,-109.59378772879,0.08,0.001,-8128.77427421251,-8019.18048648372,48.5845,-109.593620607257,-8128.77408039932,-8019.18045979206,0.0832635414040536,0.00086316235972892,-2.48568081024809,-7.05502038178856,4.04524738438609,53.4583339371154
15.1177751637187,12345,0.2,3.02355503274374,-127.728992918766,0.08,0.001,-8312.48454438449,-8184.75555146572,48.2670340681363,-127.728924974262,-8312.48445072491,-8184.75552575065,0.074019577426096,0.00126423964575673,-2.60334809676104,-6.67369509101366,3.59889167257165,53.3647581091822
14.2605467850099,12345,0.3,4.27816403550296,-76.8251230989845,0.08,0.001,-8215.15335159406,-8138.32822849507,48.6265664160401,-76.825148076985,-8215.15326489458,-8138.32811681759,0.0755709112246892,0.00116606968136059,-2.58252174039169,-6.75498811208398,3.78962717652345,53.7138272211953
14.586953426963,12345,0.4,5.83478137078519,-67.1127733874073,0.08,0.001,-8339.92878911754,-8272.81601573014,48.4290726817043,-67.1128103877054,-8339.92873883295,-8272.81592844524,0.0686654755483142,0.00154585175317863,-2.67829265456924,-6.47306161211927,3.50273194286487,53.6800017042199
14.6554140479483,12345,0.5,7.32770702397414,-45.9732796919106,0.08,0.001,-8377.13923300792,-8331.16595331601,49.2566549472627,-45.9732419170323,-8377.13913196459,-8331.16589004756,0.0651535602404848,0.00167212625327701,-2.73080882927844,-6.3941929708912,3.44966499007733,54.6650689828926
14.5013503073959,12345,0.6,8.70081018443755,-19.2803439972613,0.08,0.001,-8408.10081984963,-8388.82047585237,48.0930583501006,-19.2803458430499,-8408.1008016644,-8388.82045582135,0.0607986145012401,0.00214692235061759,-2.80029665049804,-6.14332906868936,3.2465621790576,53.5052291237208
14.4078362227844,12345,0.7,10.0854853559491,3.34247700298329,0.08,0.001,-8410.85166915436,-8414.19414615735,48.2055415617128,3.34258584192321,-8410.85152363413,-8414.19410947606,0.0588096367442812,0.00230232161289835,-2.83361939938334,-6.07335275464505,3.21095544869542,53.6810474662025
14.680591638693,12345,1,14.680591638693,16.4561161839829,0.08,0.001,-8654.56993508013,-8671.02605126411,48.9384537131231,16.4562256545651,-8654.56979461971,-8671.02602027428,0.0449201905662471,0.00366540717750327,-3.10304418113978,-5.6084481322973,2.67689174199123,54.9343119661115
15.0827726806032,12345,2,30.1655453612063,-15.655566208492,0.08,0.001,-8796.47617648266,-8780.82061027417,53.6017222820237,-15.6557312843215,-8796.47605603115,-8780.82032474683,0.024847442870995,0.00635957114641122,-3.69544825237246,-5.05682188506804,1.93085137329056,60.139920068029
14.5538070325269,12345,3,43.6614210975806,-20.2748454956363,0.08,0.001,-8428.93690006595,-8408.66205457031,61.5321154979375,-20.2774707537519,-8428.9368258192,-8408.65935506545,0.015703734818993,0.00728986798940071,-4.15326506146771,-4.92011383932817,1.64839049854537,68.4420147410749
11.5109813611992,12345,0,0,-103.417429353633,0.1,0.001,-7727.65825246484,-7624.24082311121,40.8825,-103.417442031852,-7727.65824009125,-7624.2407980594,0.101577653199334,0.000944488284663229,-2.2868492937314,-6.96508603740606,4.16320155832148,44.9033333156883
12.0162701716664,12345,0.1,1.20162701716664,-107.3109805207,0.1,0.001,-7800.54016461365,-7693.22918409294,40.9594594594595,-107.310882487029,-7800.54005769195,-7693.22917520492,0.0975562260357705,0.00106336823334768,-2.32731933162141,-6.84624944610517,4.00674132771998,45.1259909725419
12.0994627908114,12345,0.2,2.41989255816227,-116.76885970547,0.1,0.001,-7835.4180207737,-7718.64916106823,40.7219438877756,-116.768893455717,-7835.41795383428,-7718.64906037857,0.0951442677945996,0.00118085457014686,-2.35210086900831,-6.74243182943628,3.88767880986331,44.88360274116
11.5833064454452,12345,0.3,3.47499193363357,-42.7077723406319,0.1,0.001,-7758.89553351007,-7716.18776116944,40.5719298245614,-42.7077406487533,-7758.89543023247,-7716.18768958371,0.0930500030124226,0.0013031378827815,-2.37464028606513,-6.64316474214319,3.96404090018832,44.7274520183762
11.80217327844,12345,0.4,4.72086931137599,-74.7991473453794,0.1,0.001,-7900.99506514818,-7826.1959178028,41.1900702106319,-74.7987212016878,-7900.99461685043,-7826.19589564874,0.0872330658835444,0.00147660958073952,-2.43920423588945,-6.51774878083635,3.74071773913297,45.4912164065444
11.9510998663778,12345,0.5,5.97554993318889,-54.8214846321989,0.1,0.001,-8002.49001773269,-7947.66853310049,40.939378757515,-54.8214830582938,-8002.4899463116,-7947.66846325331,0.0804730244493488,0.00188032373155965,-2.51966852973868,-6.27704426067592,3.50100324356355,45.363267047216
12.0540179509785,12345,0.6,7.23241077058707,-58.0955659394094,0.1,0.001,-8018.86591716794,-7960.77035122854,40.4562374245473,-58.095474737559,-8018.86579813911,-7960.77032340155,0.0773359939987086,0.00216977124745876,-2.55955552751535,-6.13342239436481,3.36215890055993,44.8845243055847
11.9270662549235,12345,0.7,8.34894637844642,-7.05240114924982,0.1,0.001,-8068.04255789385,-8060.9901567446,41.4831404126824,-7.05253555195395,-8068.04253987367,-8060.99000432172,0.0724240055881886,0.00233151411336971,-2.6249099414313,-6.06235743880585,3.321298114212,46.1721840812914
12.2855797637346,12345,1,12.2855797637346,-3.82752927356887,0.1,0.001,-8278.43266951953,-8274.60514024596,41.1416962925343,-3.82637114979661,-8278.43146953252,-8274.60509838273,0.0564043009107013,0.0039938127145426,-2.87528665858939,-5.52264059677987,2.766336324175,46.0166410128055
11.7581607415239,12345,2,23.5163214830478,-7.63934645918926,0.1,0.001,-8450.40913441756,-8442.76978795838,44.6134770889488,-7.64003560434685,-8450.40909384836,-8442.76905824401,0.0287737176480547,0.00794626254656578,-3.54836011126651,-4.83408182831203,1.91466558199068,50.022151638066
11.8569956507812,12345,3,35.5709869523435,-15.7492630445631,0.1,0.001,-8241.79119876119,-8226.04193571663,50.7510156703424,-15.7501258915981,-8241.79112236809,-8226.04099647649,0.0177945485064378,0.00930299081798789,-4.02853931438224,-4.67865403351732,1.62111198732358,56.358088130397
10.0595765181003,12345,0,0,-114.360003457319,0.12,0.001,-7416.65215285129,-7302.29214939397,35.5533299949925,-114.359861848924,-7416.65197352213,-7302.29211167321,0.119946492571101,0.000986716123778698,-2.12081175966924,-6.92054057099558,4.23100985524295,39.0426474075701
9.76715394305874,12345,0.1,0.976715394305874,-78.5944686230105,0.12,0.001,-7411.62186714646,-7333.02739852345,35.646,-78.5946843901411,-7411.6218289285,-7333.02714453836,0.116787594075472,0.00108137263564745,-2.14705701651661,-6.83065358260115,4.22972287523387,39.1187498137017
9.68039389913932,12345,0.2,1.93607877982786,-74.7547938160915,0.12,0.001,-7381.22371857043,-7306.46892475434,35.9244244244244,-74.7550672969282,-7381.22364960031,-7306.46858230338,0.118259840777485,0.00100245045457149,-2.13523593643308,-6.90337417435008,4.32394715311508,39.3955157255939
10.0958737279983,12345,0.3,3.02876211839948,-79.5148392343244,0.12,0.001,-7485.6800288312,-7406.16518959688,35.4756648268941,-79.5147910848955,-7485.67997149602,-7406.16518041112,0.109678565946249,0.00135086667493441,-2.210122237803,-6.60729783230577,3.99121916265961,39.0599236445922
9.89720147492906,12345,0.4,3.95888058997162,-50.9464977341931,0.12,0.001,-7515.49955795832,-7464.55306022413,35.6843953838435,-50.9464901292213,-7515.49952749559,-7464.55303736636,0.104982613297538,0.00151608122014288,-2.25402034091795,-6.49126879883436,3.92256768743955,39.3341266830555
9.66568033067515,12345,0.5,4.83284016533757,-22.9232823802586,0.12,0.001,-7533.82294756769,-7510.89966518743,35.5037593984962,-22.9232060653221,-7533.82285758129,-7510.89965151597,0.101750088874042,0.00169958254192295,-2.28525782967196,-6.37717822444189,3.85084428020579,39.192848374057
9.65359357049592,12345,0.6,5.79215614229755,-6.90936634672198,0.12,0.001,-7629.79774666666,-7622.88838031994,35.7916666666667,-6.90934613261834,-7629.79769878184,-7622.88835264922,0.0938094201864711,0.00206144795168076,-2.36662287190964,-6.18396242108728,3.64627121830645,39.6428278779977
10.0610549646663,12345,0.7,7.04273847526641,-33.8581246844897,0.12,0.001,-7836.85412046959,-7802.9959957851,35.7330657300552,-33.8577299896897,-7836.85371932032,-7802.99598933063,0.0828895388757618,0.00280293343960855,-2.49019599794282,-5.87729149551185,3.25966085459279,39.7334974816492
10.0350877852222,12345,1,10.0350877852222,-38.5063680372641,0.12,0.001,-8006.94327230392,-7968.43690426666,35.7370015143867,-38.5064197845722,-8006.94322941739,-7968.43680963282,0.0704911902799488,0.00392034633876192,-2.65231004922129,-5.54177405265751,2.86406112922643,39.9423102118431
