"sd.rnormal","current.seed","scale","sderr","Delta_LL","mean_in","LWei","LGomp","MeanLF","Delta_LL.flex","LWei.flex","LGomp.flex","G.flex.estimated","R.flex.estimated","LLG.par","LLR.par","gamma.flex.estimated","theta.flex.estimated"
1.00404182402394,12345,1,1,107.793787458977,5,-2932.86870347764,-3040.66249093661,5.0075,107.79370803729,-2932.86868803354,-3040.66239607083,0.972172527605927,0.00456888980328576,-0.0284302025427969,-5.38760780401831,5.3498108185785,5.42648583580553
1.909270751478,12345,2,2,89.5621880427043,5,-4002.71004124216,-4092.27222928487,5.04903943377149,89.5623487455682,-4002.70996367615,-4092.27231242172,0.483070745107351,0.0299539308708898,-0.727918097432358,-3.50705567690472,2.99395619066264,5.65379199951885
3.04826580205524,12345,3,3,60.2814905758632,5,-4361.38498688896,-4421.66647746483,5.40788762830902,60.2815034926853,-4361.38494209024,-4421.66644558293,0.270383664248339,0.0577872582666973,-1.30782468599562,-2.85093873672324,2.15925112571893,6.10380258331969
4.06572596383837,12345,4,4,55.0870383938973,5,-4413.59627594206,-4468.68331433596,6.00923254472014,55.0870233135674,-4413.59624432102,-4468.68326763458,0.190784042051033,0.0655433064986329,-1.6563862945519,-2.72548531595506,1.90317289714809,6.77752884795862
5.03676644234339,12345,5,5,41.8590101905766,5,-4484.0821564915,-4525.94116668208,6.62394195888755,41.8589280040278,-4484.08211242507,-4525.9410404291,0.136688495023551,0.0712396515603557,-1.98919258900223,-2.64234703983954,1.71010127445233,7.43184903007623
0.963033341965312,12345,1,1,82.3433997969428,10,-2919.94083995718,-3002.28423975412,9.986,82.3434323727611,-2919.94080072765,-3002.28423310041,0.998098889480877,2.84265425009443e-05,-0.00181805989476679,-10.4689273553599,10.5964956435584,10.4388358722558
2.02384772569552,12345,2,2,136.961261459508,10,-4301.58662723974,-4438.54788869925,10.036,136.961316817921,-4301.58656411004,-4438.54788092796,0.475928307211756,0.00248945783534934,-0.742545806893787,-5.99545526604748,5.34793722248828,10.8658538708455
2.95501931319446,12345,3,3,112.842974144672,10,-4992.15859448909,-5105.00156863376,9.98097145718578,112.842985606033,-4992.15855942441,-5105.00154503044,0.320986630087219,0.00856480726415828,-1.13636252263193,-4.76022569613994,3.74537241365492,11.0435526083199
4.02291733912438,12345,4,4,105.632293318198,10,-5498.08736999367,-5603.71966331187,10.0776992936428,105.632347184795,-5498.08728933775,-5603.71963652254,0.21233514913703,0.0189272041439918,-1.5496533273659,-3.96686810950093,2.78482385931068,11.3138611224263
4.83850179020609,12345,5,5,62.0964220073274,10,-5722.3758784683,-5784.47230047563,10.2730061349693,62.0965896557382,-5722.37568499782,-5784.47227465355,0.168383354111407,0.0250423176530069,-1.78174836317928,-3.68647291681712,2.38137619773594,11.5650093761356
1.01084532191965,12345,1,1,54.1115403268564,15,-2995.55099250841,-3049.66253283526,15.016,54.1115877828347,-2995.55089447148,-3049.66248225432,0.982591350267923,2.31328903632835e-07,-0.0174608712485569,-15.2810890960843,15.3559768332877,15.4983274124458
2.00424066076788,12345,2,2,116.108563995253,15,-4312.8362948318,-4428.94485882705,15.0065,116.108596156643,-4312.83624252673,-4428.94483868337,0.484711019452242,0.000205865329886063,-0.724265865990523,-8.48771691865615,7.89471530843866,15.8881817901774
3.0281625583707,12345,3,3,101.569571387272,15,-5079.52268228835,-5181.09225367562,15.074,101.569466559697,-5079.52261993263,-5181.09208649233,0.335115527929048,0.00130431471116315,-1.09297214705077,-6.6436667438838,5.51518948189354,16.3058700704506
3.99514192228939,12345,4,4,117.293166423361,15,-5617.10528436373,-5734.3984507871,15.014,117.293201000189,-5617.1052467635,-5734.39844776369,0.242262811590205,0.00406828785307105,-1.41771726988703,-5.50453539768359,4.15604172395072,16.5155421329612
4.94142705106567,12345,5,5,95.043807102581,15,-6015.41166645578,-6110.45547355836,15.0766149223836,95.0437390229426,-6015.41157661047,-6110.45531563341,0.187999084273234,0.00748984480329262,-1.67102572298343,-4.89482198498403,3.3715007759917,16.7718304107511
0.971340606730912,12345,1,1,52.9517187867741,20,-2990.64038785894,-3043.59210664571,19.9515,52.951757989249,-2990.64033376985,-3043.5920917591,0.967401864838538,2.46046793734125e-09,-0.0330596132875218,-19.8245215837072,20.0712198072745,20.4312543175282
1.92823931751868,12345,2,2,78.5422078681831,20,-4251.41333712776,-4329.95554499594,19.986,78.5422211958166,-4251.4132906001,-4329.95551179591,0.515384917090248,1.04859457844481e-05,-0.662679555083992,-11.4671162656346,10.8956355817422,20.8693737476017
3.08681339133088,12345,3,3,110.658203244963,20,-5147.53063758922,-5258.18884083419,20.01,110.658315589612,-5147.53044125782,-5258.18875684743,0.322721072108195,0.000307589561161253,-1.13117441905956,-8.08539269398524,7.00700519849531,21.3358476095475
3.97844058887213,12345,4,4,122.65301984945,20,-5629.16289909028,-5751.81591893973,20.0685,122.652846607198,-5629.16282462548,-5751.81567123268,0.249873594718865,0.00101740898540094,-1.38657202790135,-6.89203366447291,5.53340766366172,21.6965015885617
4.88824817174127,12345,5,5,137.654250658486,20,-6029.07192022326,-6166.72617088175,20.1695,137.654219082679,-6029.0719167107,-6166.72613579338,0.19627766962474,0.00237635816242962,-1.62808288107421,-6.04273711572082,4.52977990705434,22.0603212127044
1.01114366689681,12345,1,1,29.998408753685,35,-3096.55498251158,-3126.55339126527,34.9915,29.9984816901356,-3096.55480322242,-3126.55328491256,0.935417542846886,3.46889993787311e-15,-0.0669891162463007,-33.2875551055827,33.4583683082452,35.5063000646984
